HEADER
LISTA DEL SORTEO ORDINARIO NO. 3085
|PRIMER PREMIO 36568 ||| SEGUNDO PREMIO 71693 ||| TERCER PREMIO 02141|
REINTEGROS 8,3 ,1
FECHA DEL SORTEO: 31/05/2025 --- FECHA DE CADUCIDAD: 01/12/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00141 TT .... 500.00
00147 P .... 600.00
00153 PR .... 770.00
00545 P .... 700.00
00568 TT .... 700.00
00586 P .... 600.00
00693 TT .... 600.00

00MIL
01141 TT .... 500.00
01218 PR .... 1,070.00
01568 TT .... 700.00
01688 PR .... 1,070.00
01693 TT .... 600.00

DOS MIL
02101 CR .... 570.00
02102 C .... 500.00
02103 CR .... 570.00
02104 C .... 500.00
02105 C .... 500.00
02106 C .... 500.00
02107 C .... 500.00
02108 CR .... 570.00
02109 C .... 500.00
02110 C .... 500.00
02111 CR .... 570.00
02112 C .... 500.00
02113 CR .... 570.00
02114 C .... 500.00
02115 C .... 500.00
02116 C .... 500.00
02117 C .... 500.00
02118 CR .... 570.00
02119 C .... 500.00
02120 C .... 500.00
02121 CR .... 570.00
02122 C .... 500.00
02123 CR .... 570.00
02124 C .... 500.00
02125 C .... 500.00
02126 C .... 500.00
02127 C .... 500.00
02128 CR .... 570.00
02129 C .... 500.00
02130 C .... 500.00
02131 CR .... 570.00
02132 C .... 500.00
02133 CR .... 570.00
02134 C .... 500.00
02135 C .... 500.00
02136 C .... 500.00
02137 C .... 500.00
02138 CR .... 570.00
02139 P .... 2,000.00
VENDIDO POR MANUEL ANIBAL PACHECO SOCH, DE ESTA CAPITAL
02140 P .... 2,000.00
VENDIDO POR JOSÉ IGNACIO AVILA ELEL, DE CHIMALTENANGO, CHIMALTENANGO
02141 P .... 75,000.00
VENDIDO POR KARLA ABIGAIL LOLMET CALICIO, DE MAZATENANGO, SUCHITEPÉQUEZ
02142 P .... 2,000.00
VENDIDO POR ROBERTO MARROQUÍN AYALA, DE ESTA CAPITAL
02143 PR .... 2,070.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL ENRIQUE GIRÓN OCHOA, DE ESCUINTLA, ESCUINTLA
