HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 410
|PRIMER PREMIO 06857 ||| SEGUNDO PREMIO 12146 ||| TERCER PREMIO 31837|
REINTEGROS 7,6 ,7
FECHA DEL SORTEO: 11/04/2026 --- FECHA DE CADUCIDAD: 12/10/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00057 DTR .... 750.00
00146 TT .... 1,000.00
00157 DTR .... 750.00
00257 DTR .... 750.00
00267 PDR .... 1,500.00
00357 DTR .... 750.00
00419 P .... 800.00
00457 DTR .... 750.00
00476 PR .... 950.00
00557 DTR .... 750.00
00570 P .... 600.00
00657 DTR .... 750.00
00757 DTR .... 750.00
00837 TTR .... 1,050.00
00854 P .... 800.00
00857 TTR .... 1,350.00
00957 DTR .... 750.00

MIL
01057 DTR .... 750.00
01146 TT .... 1,000.00
01157 DTR .... 750.00
01257 DTR .... 750.00
01326 PR .... 750.00
01357 DTR .... 750.00
01457 DTR .... 750.00
01485 P .... 600.00
01531 P .... 800.00
01557 DTR .... 750.00
01610 P .... 1,200.00
01618 P .... 600.00
01657 DTR .... 750.00
01677 PDR .... 1,100.00
01757 DTR .... 750.00
01837 TTR .... 1,050.00
01857 TTR .... 1,350.00
01872 P .... 1,200.00
01928 P .... 800.00
01957 DTR .... 750.00

DOS MIL
02057 DTR .... 750.00
02135 P .... 1,300.00
02146 TT .... 1,000.00
02157 DTR .... 750.00
02257 DTR .... 750.00
02357 DTR .... 750.00
02457 DTR .... 750.00
02493 P .... 800.00
02557 DTR .... 750.00
02657 DTR .... 750.00
02757 DTR .... 750.00
02807 PDR .... 900.00
02837 TTR .... 1,050.00
02857 TTR .... 1,350.00
02957 DTR .... 750.00
02959 P .... 800.00

TRES MIL
03057 DTR .... 750.00
03146 TT .... 1,000.00
03157 DTR .... 750.00
03204 P .... 600.00
03257 DTR .... 750.00
03357 DTR .... 750.00
03457 DTR .... 750.00
03519 P .... 600.00
03557 DTR .... 750.00
03657 DTR .... 750.00
03757 DTR .... 750.00
03762 P .... 800.00
03783 P .... 1,200.00
03837 TTR .... 1,050.00
03857 TTR .... 1,350.00
