HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 395
|PRIMER PREMIO 55049 ||| SEGUNDO PREMIO 77155 ||| TERCER PREMIO 04765|
REINTEGROS 9,5 ,5
FECHA DEL SORTEO: 23/11/2024 --- FECHA DE CADUCIDAD: 23/05/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00049 TT .... 1,200.00
00149 DT .... 600.00
00155 TTR .... 1,150.00
00245 PDR .... 900.00
00249 DT .... 600.00
00310 P .... 1,200.00
00349 DT .... 600.00
00449 DT .... 600.00
00549 DT .... 600.00
00602 P .... 800.00
00649 DT .... 600.00
00672 P .... 800.00
00749 DT .... 600.00
00765 TTR .... 1,050.00
00849 DT .... 600.00
00876 P .... 600.00
00949 DT .... 600.00

00MIL
01049 TT .... 1,200.00
01149 DT .... 600.00
01155 TTR .... 1,150.00
01209 PR .... 950.00
01249 DT .... 600.00
01280 P .... 800.00
01349 DT .... 600.00
01449 DT .... 600.00
01542 P .... 600.00
01549 DT .... 600.00
01649 DT .... 600.00
01700 P .... 1,200.00
01732 P .... 5,000.00
NO VENDIDO
01749 DT .... 600.00
01765 TTR .... 1,050.00
01840 P .... 1,200.00
01849 DT .... 600.00
01883 P .... 1,200.00
01949 DT .... 600.00

DOS MIL
02049 TT .... 1,200.00
02149 DT .... 600.00
02155 TTR .... 1,150.00
02246 P .... 1,200.00
02249 DT .... 600.00
02349 DT .... 600.00
02449 DT .... 600.00
02549 DT .... 600.00
02649 DT .... 600.00
02749 DT .... 600.00
02765 TTR .... 1,050.00
02849 DT .... 600.00
02949 DT .... 600.00

TRES MIL
03049 TT .... 1,200.00
03149 DT .... 600.00
03155 TTR .... 1,150.00
03249 DT .... 600.00
03349 DT .... 600.00
03449 DT .... 600.00
03549 DT .... 600.00
03649 DT .... 600.00
03749 DT .... 600.00
03765 TTR .... 1,050.00
03786 P .... 600.00
03793 P .... 1,300.00
03849 DT .... 600.00
03949 DT .... 600.00

CUATRO MIL
04022 P .... 800.00
04043 P .... 600.00
04049 TT .... 1,200.00
04149 DT .... 600.00
04155 TTR .... 1,150.00
04226 P .... 1,200.00
